ID	カード名	作成者	ステータス	種類	属性	ATC	DEF	レアリティ	デバフ効果（エフェクトのみ）	カード説明文（１００文字）	フィードバック
C021	火守のハウンド	佐怒賀	実装	キャラクター	火	100	100	N		蒸気機関の廃熱で動く、自律AI搭載の猟犬種。全身の歯車から火花を散らし、電脳空間の侵入者を物理的に排除する。錆びついた真鍮の牙には、過熱した高圧蒸気が常に循環し、侵入者のログごと噛み砕き、消去する。	OKです。
C022	荒海のイッカク騎士	佐怒賀	実装	キャラクター	水	100	100	N		雲の隙間から光差す嵐の海を支配する孤高の騎士。その鋭利な角槍は荒波の魔力を纏い、立ちはだかる邪悪を容赦なく貫き、砕く。波濤に揉まれし岩礁に立ち、海の平穏を乱す不届き者を一突きで地の底へ沈める戦士なり。	OKです。
C023	樹界の防壁 ガイア	佐怒賀	実装	キャラクター	木	100	100	N		深い森に棲む樹皮の鱗を持つ竜。翼を持たず大地を歩み、その尻尾には色とりどりのキノコや青草が茂る。木製の剣と盾を携え森を巡るが、決して争わず豊かな種を撒く。命を育むことに専念する、心優しき森の守護者。	OKです。
C024	ゴールドゴブリン	佐怒賀	実装	キャラクター	金	100	100	N		金属性の自律人形。スチームパンクの蒸気機関とサイバーパンクの電子回路が融合した、この秘密基地の守護者である。左手に握られた金鉱石は、基地の演算能力を高める重要な触媒であり、絶えぬ駆動音が静かに響く。	スチームパンクの要素もあってＧｏｏｄです！ ＯＫです！
C025	砂塵の亡霊	佐怒賀	実装	キャラクター	土	100	100	N		廃棄エリアの砂塵に消去データの残滓が宿り、実体を得た亡霊。砂のフードに潜む双眸が鋭く光り、周囲には浮遊する石と錆びた歯車が渦巻く。荒野を彷徨い、デジタルと物質が混ざり合う境界を守る、不気味な守護者だ。	いい感じですね！ OKです！
C026	白熱する未完の知能	佐怒賀	実装	キャラクター	光	100	100	N		スチームパンクの情景が広がるアジトの深部。蒸気機関の熱気に中てられ、不定形の光子が激しく明滅を繰り返す。その未完成な姿は、電子の海と歯車の機構が交差するこの場所で、新たなAIの胎動を予感させている。	OKです。
C027	影纏いの歯車	佐怒賀	実装	キャラクター	闇	100	100	N		無数の歯車とデジタル信号が織りなす力で、すべてを飲み込む影を操る。その冷徹な意志は、アジトの秘密を守護するスチームパンクの最深部に潜む闇の番人として君臨する。	OKです。
C028	熔鉄のゲル	佐怒賀	実装	キャラクター	火	100	100	N		溶鉱炉職員の天敵。精巧な歯車を熱で歪ませ、AI制御の安全装置をハッキングするように焼き切る。物理的な破壊とシステム汚染を同時に引き起こすため、基地の維持管理を脅かす最も忌むべき存在として定義される	OKです。
C029	蒸気霊：アビス	佐怒賀	実装	キャラクター	水	100	100	N		基地の配管や冷却水、電脳空間の結露に潜む水属性の魔物。蒸気機関の熱を奪い、電子回路をショートさせる。実体とデータの間を揺らぎ、あらゆる水分を介して侵入するこの個体は、掃討リストの末端に刻まれている。	OKです。
C030	回路の庭師	佐怒賀	実装	キャラクター	木	100	100	N		蒸気機関の熱を養分に変え、電脳回路が張り巡らされた植物群を管理する。歯車と蔦が絡み合うこの緑園は、鉄の基地における唯一の酸素供給源である。静寂の中、自動メンテナンスの駆動音だけが深緑の影に響く。	OKです。
C031	蒸気掘削機ピコ	佐怒賀	実装	キャラクター	金	100	100	N		蒸気機関と高度AIを搭載した自律型採掘ユニット。電子の瞳で地層を解析し、歯車の駆動で硬い岩盤を穿つ。深層に眠る高純度な金鉱石を効率的に特定し、アジトの静寂の中に金属音だけを響かせる。	OKです。
C032	鋼掘の土竜「モウル」	佐怒賀	実装	キャラクター	土	100	100	N		蒸気機関の振動をデジタル信号へ変換し、地下の土壌データを解析する大型自律土竜。真鍮の爪が硬質な岩盤を砕き、スチームパンクの拠点に安定した大地を構築する。土属性のシステム維持に特化した基盤整備ユニット。	OKです。
C033	燐光の整備士	佐怒賀	実装	キャラクター	光	100	100	N		蒸気と歯車が軋む深部。デジタル回路を内蔵した発光素子が、静寂の中に淡い光を灯す。巡回する整備士の指先から零れる燐光は、薄暗い秘密基地の影を暴き出し、未知のコードを静かに書き換えていく。	OKです。
C034	闇夜のセンサー	佐怒賀	実装	キャラクター	闇	100	100	N		闇属性。TOYBOXの排気管に潜む自律型警備ユニット。蒸気機関の熱源を感知し、デジタル処理された赤外線で侵入者を捕捉する。歯車の駆動音と共に、秘密基地の静寂を守り続ける。	OKです。
C035	サーマル・ドローン	佐怒賀	実装	キャラクター	火	100	100	N		アジトの室温を管理する自律型浮遊機。赤外線センサーで微細な温度変化を検知し、内蔵された熱交換器から高熱を放出してシステムを最適化する。その赤い光が通路を巡回する限り、機械の鼓動が止まることはない。	OKです。
C036	潜核のアングラ	佐怒賀	実装	キャラクター	水	100	100	N		浸水した最下層区画を漂う、電脳化された深海魚。誘引灯から放たれる青い光は、蒸気機関の廃熱をデジタル信号へ変換し、アジトの防衛ログを密かに収集し続けている。その眼には、静寂に沈んだ真実のみが映る。	その眼には、の「そ」が画像の方で抜けています。 ↓ OKです
C037	噴霧キノコ	佐怒賀	実装	キャラクター	木	100	100	N		排熱ダクトの湿り気に群生する。蒸気圧の上昇に伴い、神経を麻痺させる毒胞子を散布する。その霧はデジタルの視界をも遮り、アジト深部への侵入を物理・電子の両面から阻害する。	OKです。
C038	クロムバグ	佐怒賀	実装	キャラクター	金	100	100	N		蒸気機関の配管を侵食し、高純度の金鉱石を主食とする機械生命体。電子回路を狂わせる磁気を帯びており、発掘者にとっては基地の動力源を脅かす天敵。その外殻は、喰らった鉱物の鈍い金色に輝いている。	OKです。
C039	鋼鉄鴉の「削」	佐怒賀	実装	キャラクター	土	100	100	N		蒸気機関と電子脳を搭載したカラス型自律機。土壌の養分をデジタル信号へ変換・吸い上げ、大地を不毛な砂へと変える。歯車の駆動音と共に、農地をサイバー空間の残滓へと塗り替える無慈悲な開拓者。	OKです。
C040	光喰いのギギ	佐怒賀	実装	キャラクター	光	100	100	N		アジトの電圧を強制的に上昇させ、回路を焼き切る。一時的な出力増強と引き換えに、稼働中の全デバイスに致命的なエラーを誘発する。過剰な光が歯車の隙間から漏れ出し、システムの崩壊が静かに進行する。	OKです。
C041	宵闇のムササビ	佐怒賀	実装	キャラクター	闇	100	100	N		アジトの基幹システムに一時的なショートを引き起こす。ムササビによる配線切断が物理的な闇とデジタル・エラーを誘発。復旧までの空白時間は、隠密行動を常とする者にとって欠かせぬ空白となる。	OKです。
C042	炭化の監視員	佐怒賀	実装	キャラクター	火	100	100	N		基地の最下層に座す執行者。侵入者を検知次第、物理的な炎と高負荷な熱パッチを同時に強制実行する。対象が灰へと変わるまでその監視の目は消えず、消失した存在はログの一部として永久に保管される。	OKです。
C043	水路の清掃機	佐怒賀	実装	キャラクター	水	100	100	N		アジトの排水溝に溜まったデジタルの残滓を回収する小型メカ。真鍮のフィルターで濾過されたデータ片は、蒸気機関を回す純粋なエネルギーへと再変換される。配管の深部で、今日も無機質な洗浄音が反響している。	OKです。
C044	樹皮の盾兵	佐怒賀	実装	キャラクター	木	100	100	N		強化された樹皮を多層装甲として纏う警備用機体。蒸気機関の排熱を効率よく逃がしつつ、物理衝撃を吸収する設計が施されている。デジタル汚染に耐性を持つ硬質な繊維は、アジトの静寂を守る強固な盾として機能する。	OKです。
C045	金箔の残像	佐怒賀	実装	キャラクター	金	100	100	N		高速移動する機体の排熱が、金色の光跡を描く。デジタル処理された視覚情報にのみ残る、スチームパンクの物理的極致。網膜に焼き付く黄金のノイズは、加速の代償として記録された、実在しないはずの軌跡。	OKです。
C046	泥濘の工作兵	佐怒賀	実装	キャラクター	土	100	100	N		特殊な粘土を用いて防壁を補強する。歯車仕掛けの左腕が土の組成を瞬時に変更し、物理衝撃を吸収するデジタル回路を土壁へ組み込んでいく。蒸気圧と演算の同期が、アジトの堅牢さを冷徹に担保し続ける。	OKです。
C047	閃光の配達員	佐怒賀	実装	キャラクター	光	100	100	N		蒸気バイクを操り、暗号化された光ディスクを届ける。速度が頂点に達したとき、車体から漏れる光が残像となり、追跡者のセンサーを無効化する。その軌跡は、暗いアジトに一筋の電子の道筋を描き出す。	OKです。
C048	廃基板の掃除屋	佐怒賀	実装	キャラクター	闇	100	100	N		蒸気管の影で、廃棄された演算回路を回収し続ける自動人形。煤けた歯車と青いLEDの光が、主のいないアジトで冷たく明滅する。再構築を待つ電子の残骸が、その背の籠に積み上がっていく。	OKです。
C049	火床の見習い者	佐怒賀	実装	キャラクター	火	100	100	N		古いボイラーの脈動をAIで解析し、最適解の火力を探る。錆びたバルブと最新チップの接続に手を焼きつつ、噴き出す蒸気の中で基礎コードを刻み続ける。未熟な火花が、基地の巨大な歯車を微かに動かし始めた。	OKです。
C050	水門の見習いソラ	佐怒賀	実装	キャラクター	水	100	100	N		蒸気機関の熱を鎮めるため、巨大な水門を管理する見習い職人。電脳回路のオーバーフローを防ぐべく、膨大な演算データと冷却水の流量を同期させる。未熟ながらも、静かに正確な流量制御を繰り返し、アジトの深淵を守る。	OKです。
C051	修復見習いハル	佐怒賀	実装	キャラクター	木	100	100	N		蒸気とノイズが渦巻くアジトの片隅、彼は修復見習いとして壊れた機械に新たな木枠を添える。断線した回路を繋ぎ、止まった鼓動を再び刻ませるその手元には、未熟ながらも職人としての静かな執着が滲んでいる。	OKです。
C052	回路編みの少女	佐怒賀	実装	キャラクター	金	100	100	N		真鍮の針を操り、高圧蒸気パイプの熱を避けて光ファイバーを縫い合わせる。複雑な歯車機構にデジタル信号を同期させる技術は、まだ見習いの域を出ない。それでも彼女が編む回路は、アジトに確かな鼓動を灯す。	OKです。
C053	回路石の研磨師・リノ	佐怒賀	実装	キャラクター	土	100	100	N		地層から掘り出した記憶媒体を、蒸気油の染みた布で磨き上げる少女。読み取り不能な結晶に電子の火を灯す作業は、未熟ながらも正確。微細な回路が土埃を脱ぎ捨て、青い光を放つ瞬間だけを静かに見つめている。	OKです。
C054	光源の運搬手・チト	佐怒賀	実装	キャラクター	光	100	100	N		未精製の光エネルギーをタンクに詰め、蒸気が渦巻く階層を独り進む。背後から漏れる白光は、錆びた歯車と電子の煤にまみれた秘密基地を淡く照らす。その光の航跡こそが、このアジトに潜むAIたちの生命線となる。	OKです。
C055	模造の解体・ゼノ	佐怒賀	実装	キャラクター	闇	100	100	N		蒸気と回路が混ざり合うアジトの隅。少年は無邪気な手つきで職人の傑作を暴き、電子の配線を組み替える。精密な解体は彼にとって単なる遊び。闇に溶けるその指先が、完璧な機構に致命的な不具合を滑り込ませる。	OKです。
C056	蒸気弾き・テオ	佐怒賀	実装	キャラクター	火	100	100	N		アジトの排熱ダクトで暖を取る未熟な少年。スクラップの歯車にAIチップを埋め込み、独自の「器」を組み上げる。蒸気の旋律に合わせて槌を振るうその手元には、まだ制御しきれない青い火花が激しく散っている。	OKです。
C057	洗浄見習い・ルカ	佐怒賀	実装	キャラクター	水	100	100	N		真鍮の歯車を伝う煤と、電子基板にこびりついた電磁塵を、高圧洗浄水で丹念に洗い流す。未熟な手つきながらも、AIが算出する洗浄ルートを忠実に辿り、蒸気と回路が混在するアジトの静かな脈動を維持し続ける。	OKです。
C058	芽吹きの補修員・ヒナ	佐怒賀	実装	キャラクター	木	100	100	N		破損した接続端子に緑のパッチを当てる。蒸気機関と電脳の狭間で、未熟な手つきながらもシステムに生じた欠落を埋めていく。木製の歯車から漏れる熱気が、彼女の植えた電子の苗を静かに、だが確実に育てていた。	OKです。
C059	見習い採掘生・ジル	佐怒賀	実装	キャラクター	金	100	100	N		深層の岩盤から導電性の高い鉱石を切り出す見習い。暗い坑道で、古びたツルハシが硬い地層を叩くたびに、青白い電子の火花が飛び散る。その微かな発光だけを頼りに、彼女は今日も価値ある金の脈動を追い続ける。	OKです。
C060	防塵作業員・レン	佐怒賀	実装	キャラクター	土	100	100	N		サーバー室へ侵入する土砂を阻む未熟な少年。防塵フィルタの摩耗をコンソールで監視し、遮断隔壁の補修を繰り返す。網膜に映るエラーログが消えるまで、彼は煤けた手で物理的な隙間を埋める作業を淡々と続ける。	OKです。
C061	発電補助員・ノア	佐怒賀	実装	キャラクター	光	100	100	N		巨大な蒸気タービンの傍らで、不安定な電圧計を注視する未熟な職人。真鍮のレバーを握る手はまだ震えるが、彼が送電経路を切り替えるたび、秘密基地の深層に眠るAIの回路へ純和な光が力強く供給されていく。	OKです。
C062	夜警・ネル	佐怒賀	実装	キャラクター	闇	100	100	N		蒸気霧に紛れる電子のノイズを、徹夜で追い続ける未熟な番人。監視モニターの砂嵐の中に、実体のない影が横切るのを彼女だけが知っている。重厚な歯車が軋む音と共に、彼女の意識は深い闇へと沈んでいく。	OKです。
C063	炉掃除・ヨミ	佐怒賀	実装	キャラクター	火	100	100	N		溶炉の底に溜まる不純物を熱いうちに除去する未熟な職人。循環を止めないことが秘密基地の生命線を守る唯一の手段だと教え込まれている。AIが示す最適温度の指示を頼りに、今日も火花散る過酷な現場に立つ。	OKです。
C064	浄水者・セナ	佐怒賀	実装	キャラクター	水	100	100	N		蒸気機関を冷やすための水をきれいにする、見習いの少年。水槽の底に沈んだデータの破片を拾い集めるのが日課。澄んだ水面は、彼のまだ未熟な顔と、秘密基地の複雑な電子回路を静かに映し出している。	OKです。
C065	苗木保護官・シノ	佐怒賀	実装	キャラクター	木	100	100	N		蒸気のススから小さな苗を守る見習い。透明な膜をそっと張り、汚れがつかないように見守ります。いつか基地を支える大きな木に育つ日を信じて、毎日シミュレーションを繰り返す、心優しい少女です。	OKです。
C066	鍍金見習・ハル	佐怒賀	実装	キャラクター	金	100	100	N		蒸気の力で金の霧を吹きつけ、機械の表面をコーティングする見習い職人。錆びやすい鉄のパーツを黄金の膜で守り、電子回路の接触を助けます。地下基地のシステムを長く持たせるために、欠かせない作業を担います。	OKです。
C067	清掃員・ニノ	佐怒賀	実装	キャラクター	土	100	100	N		回路に詰まった土砂を小型吸塵機で取り除く見習いの少女。蒸気で泥になった汚れを拭き取り、精密機器の故障を防ぐ。地味な作業の積み重ねがシステムの寿命を延ばす。足元の土を掃く彼女の背中に、確かな経験が宿る。	OKです。
C068	電球・テスラ	佐怒賀	実装	キャラクター	光	100	100	N		フィラメントを巻く指先が震える見習い職人。蒸気の湿気に負けない、理想の電球を作るため試行錯誤を繰り返している。彼が灯す小さな光は、薄暗いアジトの隅を静かに、けれど確かに照らし出している。	OKです。
C069	泥棒・ジル	佐怒賀	実装	キャラクター	闇	100	100	N		物理キーと電子ロックを同時に操る未熟な盗賊。蒸気の音に紛れて金庫へ忍び寄り、隠されたデータを静かに盗み出す。彼が触れた機械は吐息のような蒸気を上げ、秘められた記憶をすべて差し出してしまう。	OKです。
C070	灰錫の観測機	井伊	実装	キャラクター	火	100	100	N		蒸気機関で駆動する自律型ドロイド。レンズの奥では高度な論理回路が明滅し、アジトの熱源管理を担う。錆びついた外装は、幾多のサイバー攻撃を物理的な排熱のみで凌ぎきった証左である。	OKです。多少意味が難しい説明なので簡単でもいいかもしれません。
C071	霧使い・ナギ	佐怒賀	実装	キャラクター	水	100	100	N		超音波で水を霧に変え、秘密基地を隠す見習いの少年。デジタル回路を湿気から守りつつ、敵のセンサーを乱す絶妙な濃度を調整します。まだ未熟なため霧を出しすぎることもありますが、その技術は基地に不可欠です。	OKです。
C072	大工・ガロ	佐怒賀	実装	キャラクター	木	100	100	N		木の板と真鍮のパーツを組み合わせ、基地の熱を逃がす塔を作る見習い職人。デジタル回路のノイズを吸い取るために、木の年輪を慎重に並べている。未熟ながらも、機械と自然を繋ごうと毎日ハンマーを振るう。	OKです。
C073	導線工・リン	佐怒賀	実装	キャラクター	金	100	100	N		秘密基地の壁に銅線を張り巡らせる見習い職人。蒸気機関のパワーをデジタル信号へ変えるため、慣れない手つきでコイルを巻く。彼女が繋ぐ不格好な配線は、今日もアジトに新たな輝きと熱を送り届けている。	OKです。
C074	削岩者・レム	佐怒賀	実装	キャラクター	土	100	100	N		超振動ドリルを抱え、基地の壁を掘り進める未熟な少年。ゴーグルに映る地層データを頼りに、蒸気圧で岩盤を穿つ。飛び散る土にまみれながら、彼はまだ見ぬ基地の最深部を目指して、今日もただ土を削り続ける。	OKです。
C075	光脈手・シン	佐怒賀	実装	キャラクター	光	100	100	N		壁の裏を流れるエネルギーの鼓動を感じ取り、アジトの光を整える少年。まだ技術は未熟だが、真鍮の管に耳を当てて、どこに電力を送るべきか懸命に判断している。彼が触れると、消えかかった回路に再び命が灯りだす。	急に説明が敬語になっているのが気になります。 ↓ OKです。
C076	暗部・カグラ	佐怒賀	実装	キャラクター	闇	100	100	N		暗闇の中、電子の目だけで世界を見る見習いの少女。音や熱を数値として捉え、影に潜んで標的を追い詰めるだろう。冷たいモニター越しに映る景色だけが、彼女にとっての真実であり、世界のすべてなのだ。	急に説明が敬語になっているのが気になります。 ↓ OKです。
C077	廃材焼・モズ	佐怒賀	実装	キャラクター	火	100	100	N		壊れた部品を炉で溶かす、未熟な職人。機械が消える瞬間の熱をじっと見つめ、次の素材へ変える作業を繰り返している。彼のまわりには、いつも電子回路が焦げた匂いと、消えかかった火花が静かに舞っている。	OKです。
C078	氷削り出し・トウマ	佐怒賀	実装	キャラクター	水	100	100	N		熱暴走するAIを冷やすため、専用の氷を削り出す見習い職人。電子の熱を奪う冷却結晶を、一つずつ丁寧な手作業で仕上げる。彼が削る氷の透明度は、未熟ながらも基地の安全を静かに支え続けている。	OKです。
C079	薬草採・リンドウ	佐怒賀	実装	キャラクター	木	100	100	N		機械の隙間に生えるハーブを摘む、見習いの少年。その香りは、蒸気やデジタル作業で疲れた職人の心を癒やしてくれる。彼が配る薬草のおかげで、アジトの複雑なシステムも静かに安定して動き続けるだろう。	急に説明が敬語になっているのが気になります。 ↓ OKです。
C080	金加工者・ガレ	佐怒賀	実装	キャラクター	金	100	100	N		真鍮を削り、エンジンの外装を作る見習い職人。専用の工具で金属を叩き、蒸気が漏れないよう隙間を埋めていく。未熟ながらも、その正確な手つきはアジトの重要な動力を今日も陰から支え続けている。	OKです。
C081	土器職人・カイ	佐怒賀	実装	キャラクター	土	100	100	N		サイバー設計図を基に、熱に強いセラミック基板を焼く未熟な職人。伝統的な土練りと蒸気釜を使い、デジタル回路を支える強固な土台を作り上げる。彼が焼くパーツがなければ、アジトの通信機は熱で溶けるだろう。	OKです。
C082	送電・アベル	佐怒賀	実装	キャラクター	光	100	100	N		高圧電流を蒸気で制御する変電所の見習い。巨大なレバーを必死に操作し、アジトの各区画へ光を送り届ける。まだ出力の微調整に苦労しているが、彼が繋ぐ電気こそが秘密基地の全ての機能を支えている。	OKです。
C083	賭博場員・テラ	佐怒賀	実装	キャラクター	闇	100	100	N		蒸気とネオンが混ざり合う通路を見回る見習い。監視カメラの死角を熟知し、闇に紛れて不審な動きを監視する。重い歯車の音に隠れながら、電脳世界から漏れ出る小さなノイズを拾い集めるのが彼の日課だ。	OKです。
C084	ガラス職人・ルネ	佐怒賀	実装	キャラクター	火	100	100	N		強化ガラスに細い導線を封じ込める、未熟な職人。透過する光の角度でデータの処理速度が変わるため、一瞬も気が抜けない。熱を帯びたガラス越しに、秘密基地のデジタルな鼓動を静かに見守り続けている。	OKです。
C085	水銀の廃液	井伊	実装	キャラクター	水	100	100	N		秘密基地の配管に溜まった冷却液と、廃棄されたAIプログラムが融合した姿。歯車の間をすり抜け、デジタルのノイズを撒き散らしながら増殖する。無機質な蒸気の中で、青く発光する液体が静かに回路を侵食していく。	OKです。
C086	末端の整備士	井伊	実装	キャラクター	木	100	100	N		歯車の軋みをデジタル信号で読み取る低級整備士。木属性の魔力で回路を繋ぎ合わせ、アジトの崩壊を未然に防ぐ。その静かな作業は、TOYBOXの基盤を維持する上で欠かせない最小単位の献身である。	OKです。
C087	補助技師・クロム	井伊	実装	キャラクター	金	100	100	N		金属躯体に蒸気管と演算基板を備えた補助技師。静圧駆動でアジト内部を巡回し、微細な異常信号を解析して機構の最適化を淡々と実行する。	OKです。
C088	土壌調査技術者・クレイ	井伊	実装	キャラクター	土	100	100	N		圧縮土壌を核に持つ人間型技師。蒸気管と歯車で強化された四肢は、アジトの地盤制御を淡々と遂行し、揺らぎを許さない演算を続ける。	OKです。
C089	調律師・レイ	井伊	実装	キャラクター	光	100	100	N		蒸気機関と高度なAIを同期させる若き技術者。歯車が刻むリズムをデジタル信号へ置換し、アジトの演算速度を極限まで高める。その瞳は常に、霧の先に隠されたシステムの真理を捉えている。	OKです。
C090	屑鉄の給仕機	井伊	実装	キャラクター	闇	100	100	N		蒸気漏れを起こしながらアジトを徘徊する、初期型の配膳ドロイド。剥き出しの回路が不規則に明滅し、微かな電子音を奏でる。ガラクタ同然の装甲だが、その深部には未知の演算ログが刻まれている。	OKです。
C091	鍛冶職人・ミカ	佐怒賀	実装	キャラクター	火	100	100	N		アジトの隅で、廃棄ドローンを叩き直す未熟な少女。彼女が作る防弾板は表面が歪だが、その凹凸がレーザーを弾き、火花を散らす独自の盾となる。未完成な鉄の一枚板が、今日もアジトの仲間を守り抜く。	OKです。
C092	氷彫・カナタ	佐怒賀	実装	キャラクター	水	100	100	N		氷から精密なレンズを削り出す見習い職人。熱に弱いAIの目を守るため、冷たい手で加工を続ける。彼が作るレンズは、機械が熱で壊れる寸前のわずかな間だけ、暗い地下を明るく照らし出す。	OKです。
C093	森の管理者・ベルク	佐怒賀	実装	キャラクター	木	100	100	N		アジトの地下に広がる「基板の森」を守る見習い職人。腐食した回路に生える電子苔を間引き、システムの暴走を防いでいる。炭化した木の杖を使い、蒸気と闇に包まれた機械の根元を静かに巡回するのが彼の役目だ。	OKです。
C094	接点の・リーザ	佐怒賀	実装	キャラクター	金	100	100	N		複雑に絡み合う配電盤の接触不良を解消する修理者。微細なピンセットを使い、金の端子をコンマ数ミリ単位で調整する。彼女の手によって、滞っていた電子の奔流が再びアジトの各所へ供給される。	OKです。
C095	炭鉱・ネル	佐怒賀	実装	キャラクター	土	100	100	N		高純度の石炭を掘り出す見習いの少女。煤にまみれながら、土の中に眠る古いチップを拾い集めている。未熟な手付きで選別を繰り返す彼女の指先は、時折、デジタル世界の忘れ物である貴重な記憶を掘り当てる。	OKです。
C096	案内役・ガク	佐怒賀	実装	キャラクター	光	100	100	N		複雑な蒸気配管とデジタル回路が入り組む基地を案内する見習いの少年。ホログラム地図を片手に、暗い通路を青白い光で照らし出し迷路のような秘密基地で、彼が掲げる光は進むべき道を静かに示すだろう。	OKです。
C097	脱走兵・ハルト	佐怒賀	実装	キャラクター	闇	100	100	N		防衛部隊の試作装備を持ち逃げした、未熟な少年兵。重厚な装甲に刻まれた識別番号を削り取り、違法なプログラムを無理やり流し込んでいる。その接続端子が放つ鈍い光は、彼が戻れぬ場所を捨てた証である。	OKです。
C098	熱処理兵・イリヤ	佐怒賀	実装	キャラクター	火	100	100	N		基板の歪みを直すために、アジトの精密な熱処理を任された見習い。モニターに映るデジタルな熱分布と睨み合い、部品が溶ける寸前の限界温度を見極める。一瞬の油断が回路を焼き切る緊張感の中、静かに炎を操る。	OKです。
C099	見習い蔵人・サカキ	佐怒賀	実装	キャラクター	水	100	100	N		秘密基地の蒸気で酒を造る未熟な職人。デジタル管理された温度を保つため、タンクの結露をひたすら拭き取り続ける。彼が磨くステンレスの肌には、電脳街の青いネオンが静かに反射している。	OKです。
C100	家具職人・レト	佐怒賀	実装	キャラクター	木	100	100	N		秘密基地の廃材を使い、サーバーラックを組み上げる見習い職人。木材で蒸気の湿気を吸い取り、精密な基板が錆びるのを防いでいる。デジタルと歯車が混ざり合うアジトで、彼は今日も木の温もりを機械に添える。	OKです。
C101	錆鉄の偵察機	井伊	実装	キャラクター	金	100	100	N		蒸気機関で駆動する初期型の自律ドローン。回路は劣化し、外装の歯車も欠けているが、今もなお秘密基地の深部で断片的なデジタル信号を送信し続けている。	OKです。
C102	蒸気義肢の廃棄兵	井伊	実装	キャラクター	土	100	100	N		錆びた歯車と電子回路が混在する廃液溜まりを徘徊する守衛。蒸気機関の律動とAIの冷徹な計算が同期したとき、土煙に紛れて侵入者の足首を冷たく掴む。部品の摩耗は忠誠の証。	OKです。
C103	監視兵・ギアノイズ	井伊	実装	キャラクター	光	100	100	N		蒸気外骨格と旧式AIコアを併載した監視兵。おおきなモノアイで周囲のデータ流を読み取り、侵入経路を静かに封鎖する。	OKです。
C104	影機工・ノクス従僕	井伊	実装	キャラクター	闇	100	100	N		闇圧縮蒸気で稼働する下位個体。粗製の歯車骨格が常に軋み、暗渠での雑務を淡々と遂行する。近接した端末は信号遅延を起こす。	OKです。
C105	火炎官・ロキ	佐怒賀	実装	キャラクター	火	100	100	N		アジトを守る熱線トラップの点検を任された見習い。赤外線センサーと火炎放射の同期を担う。AIの予測をなぞるだけでは不十分だと、今日も狭い通気口を這い回り、秘密基地の死角を自らの目で潰し続けている。	OKです。
